Loan_Type_Risk,COUNTA of ID,SUM of loan_amount,,,Age_Range,COUNTA of ID,SUM of loan_amount,,Occupancy_Type,COUNTA of ID
High,2007,"675,075,500.00",,,<25,188,"45,662,000.00",,Independent Role,977
Low,15150,"5,225,235,000.00",,,>74,917,"237,520,500.00",,Professional Role,18622
Medium,2843,"728,249,500.00",,,25-34,2561,"915,126,500.00",,Salaried Role,401
,,,,,35-44,4423,"1,672,979,500.00",,,
,,,,,45-54,4735,"1,666,047,500.00",,,
,,,,,55-64,4431,"1,346,691,500.00",,,
COUNTA of ID,Loan_Type_Risk,,,,65-74,2745,"744,532,500.00",,credit_type,COUNTA of ID
Credit_Worthiness,High,Low,Medium,,,,,,CIB,6518
High,1950,14523,2729,,,,,,CRIF,5974
Medium,57,627,114,,,,,,EQUI,1995
,,,,,,,,,EXP,5513
,,,,,,,,,,
,,,,,Region,SUM of loan_amount,,,,
,,,,,Central,"381,248,500.00",,,,
Term,COUNTA of ID,term_in_years,COUNTA of ID,,North,"3,339,763,500.00",,,,
96.00,21,05-10 Years,21,,North-East,"50,872,500.00",,,,
108.00,5,05-10 Years,5,,South,"2,856,675,500.00",,,,
120.00,66,05-10 Years,66,,,,,,,
132.00,14,10-15 Years,14,,,,,,,
144.00,34,10-15 Years,34,,,,,,,
156.00,17,10-15 Years,17,,,,,,,
165.00,1,10-15 Years,1,,Gender,Gender Count,,,,
168.00,11,10-15 Years,11,,Female,3595,,,,
180.00,1773,10-15 Years,1773,,Male,5765,,,,
192.00,4,15-20 Years,4,,Sex Not Available,10640,,,,
204.00,9,15-20 Years,9,,,,,,,
216.00,13,15-20 Years,13,,,,,,,
228.00,10,15-20 Years,10,,,,,,,
240.00,805,15-20 Years,805,,,,,,,
252.00,2,20-25 Years,2,,Loan_Purpose,COUNTA of ID,,,,
264.00,4,20-25 Years,4,,Cash-Out Refinance,7659,,,,
276.00,16,20-25 Years,16,,Home Improvement / Other,7363,,,,
288.00,8,20-25 Years,8,,Purchase,4578,,,,
300.00,355,20-25 Years,355,,Refinance,400,,,,
312.00,25,25-30 Years,25,,,,,,,
324.00,356,25-30 Years,356,,,,,,,
336.00,30,25-30 Years,30,,COUNTA of ID,Loan_Type_Risk,,,,
348.00,36,25-30 Years,36,,Loan_Purpose,High,Low,Medium,,
360.00,16385,25-30 Years,16385,,Cash-Out Refinance,860,5597,1202,,
,,,,,Home Improvement / Other,813,5724,826,,
term_in_years,Total Count,,,,Purchase,333,3494,751,,
05-10 Years,92,,,,Refinance,1,335,64,,
10-15 Years,1850,,,,,,,,,
15-20 Years,841,,,,,,,,,
20-25 Years,385,,,,,,,,,
25-30 Years,16832,,,,COUNT of loan_amount,Default Possibility,,,,
,,,,,Region,High,Low,Medium,,
,,,,,South,805,5212,2590,,
,,,,,North-East,14,106,45,,
,,,,,North,943,6014,3102,,
,,,,,Central,120,630,419,,
,,,,,,,,,,
,,,,,,,,,,
Credit_Score_Range,SUM of Credit Risk Score,,,,,,,,,
500-600,26750,,,,,,,,,
600-700,11813,,,,,,,,,
700-800,11639,,,,,,,,,
800-900,11483,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SUM of loan_amount,Default Possibility,,,,,,,,,
Credit_Score_Range,High,Low,Medium,,,,,,,
500-600,"523,324,000.00","398,018,000.00","740,432,500.00",,,,,,,
600-700,"51,448,000.00","1,123,892,500.00","495,259,000.00",,,,,,,
700-800,"46,193,500.00","1,151,841,500.00","472,419,000.00",,,,,,,
800-900,"45,237,500.00","1,122,091,000.00","458,403,500.00",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SUM of loan_amount,Default Possibility,,,,,,,,,
Loan_Purpose,High,Low,Medium,,,,,,,
Cash-Out Refinance,"82,612,000.00","1,768,186,000.00","400,035,500.00",,,,,,,
Home Improvement / Other,"472,583,000.00","985,031,500.00","1,285,335,000.00",,,,,,,
Purchase,"109,156,000.00","973,046,000.00","471,575,000.00",,,,,,,
Refinance,"1,852,000.00","69,579,500.00","9,568,500.00",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Credit_Score_Range,COUNTA of ID,AVERAGE of Rate_Of_Interest,AVERAGE of Loan to Value Ratio,,,,,,,
500-600,5033,4.03,72.70,,,,,,,
600-700,5043,4.03,73.42,,,,,,,
700-800,4956,4.01,72.98,,,,,,,
800-900,4968,4.04,72.72,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Region,AVERAGE of Loan to Value Ratio,,,,,,,,,
Central,76.69,,,,,,,,,
North,73.54,,,,,,,,,
North-East,68.88,,,,,,,,,
South,71.84,,,,,,,,,
Grand Total,72.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Credit_Score_Range,,,,,,,,,,
500-600,,,,,,,,,,
600-700,,,,,,,,,,
700-800,,,,,,,,,,
800-900,,,,,,,,,,
Grand Total,,,,,,,,,,
